InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
501126,P45435,Wireless Mouse,15,02/05/2010 10:53:06 PM,4.77,15734,Canada
501238,P47748,Ceramic Mug,11,30/05/2010 06:00:20 PM,10.17,18322,Portugal
500769,P68049,Phone Stand,12,11/07/2010 11:05:04 PM,46.57,12433,China
500459,P44142,Desk Clock,12,28/02/2010 11:27:58 PM,20.73,18666,Germany
501705,P76262,Travel Notebook,16,20/02/2010 06:43:55 PM,30.59,12734,Canada
501590,P60993,Aromatherapy Oil,3,21/01/2010 10:13:58 PM,5.0,18838,Portugal
501297,P55648,Pocket Calculator,14,22/02/2010 06:31:23 AM,28.72,17513,Switzerland
501478,P89099,Foldable Umbrella,8,19/02/2010 07:17:59 PM,43.48,13152,Austria
501411,P91110,Soft Throw Blanket,6,06/11/2010 02:41:32 AM,13.36,13843,United Kingdom
500702,P94268,Wall Calendar,12,27/09/2010 09:03:26 AM,7.64,10995,United States
500815,P45825,Desk Clock,8,09/07/2010 03:26:31 PM,22.47,19467,China
501748,P18328,Magnetic Bookmark,13,07/10/2010 03:23:05 AM,37.94,19268,Denmark
500216,P38151,Pocket Calculator,13,28/10/2010 01:36:24 PM,11.15,12062,Switzerland
501862,P45825,Desk Clock,1,04/03/2010 01:27:38 AM,22.47,19687,Ireland
501522,P28268,Portable Charger,8,19/08/2010 05:55:05 PM,31.36,15892,Ireland
500040,P13728,Reusable Coffee Cup,7,17/02/2010 09:47:02 AM,48.92,13104,New Zealand
501597,P68049,Phone Stand,5,04/02/2010 07:36:32 PM,46.57,18154,Netherlands
501762,P61196,Scented Candle,14,06/08/2010 01:55:10 AM,19.02,11028,Japan
500397,P34660,Mini Bluetooth Speaker,15,28/06/2010 01:53:35 PM,30.59,17035,South Africa
500742,P51722,Travel Notebook,4,19/08/2010 03:34:04 PM,21.49,17574,Greece
501678,P45829,Aromatherapy Oil,13,31/08/2010 06:11:39 AM,13.58,19914,Spain
500577,P15972,Wall Calendar,6,06/12/2010 01:35:25 PM,28.53,13627,New Zealand
501981,P45435,Wireless Mouse,7,01/05/2010 03:16:56 PM,4.77,11306,Japan
501282,P60390,Desk Clock,8,14/06/2010 03:45:45 AM,34.33,14413,Italy
500683,P66539,Magnetic Bookmark,15,21/08/2010 03:06:24 PM,41.49,11495,Brazil
501853,P76201,Waterproof Pouch,12,23/04/2010 06:39:32 PM,1.29,17554,United States
501648,P56008,Leather Keychain,2,12/08/2010 02:03:12 AM,13.87,10854,Canada
500384,P21545,Wireless Mouse,2,17/07/2010 05:42:14 PM,23.47,15791,South Africa
500835,P68434,Sticky Notes Pack,11,21/10/2010 06:51:03 PM,35.04,18958,Denmark
501860,P58231,Sticky Notes Pack,2,28/08/2010 06:17:51 AM,39.2,11930,Mexico
500608,P84329,Clip-on Reading Light,6,28/05/2010 12:46:51 AM,44.66,19986,Portugal
500954,P25764,LED Desk Lamp,3,18/07/2010 11:16:03 PM,37.04,12911,Switzerland
500488,P18758,Mini Bluetooth Speaker,8,26/12/2010 10:25:04 AM,35.07,12385,Singapore
501802,P95180,Wireless Mouse,18,25/10/2010 08:25:06 AM,9.04,14061,United States
500262,P80323,Reusable Coffee Cup,16,01/03/2010 12:34:09 AM,3.67,19208,India
500896,P97914,Desk Organizer,5,09/01/2010 02:03:20 AM,4.94,17158,Norway
501122,P61196,Scented Candle,16,01/06/2010 04:24:00 PM,19.02,14499,South Korea
501943,P13728,Reusable Coffee Cup,11,14/04/2010 05:01:07 PM,48.92,15539,Russian Federation
500253,P66332,Aromatherapy Oil,16,02/06/2010 07:01:37 PM,30.57,10098,Italy
501919,P32720,Pocket Calculator,18,18/06/2010 10:41:07 AM,30.26,10956,United States
500800,P51722,Travel Notebook,8,08/05/2010 12:14:24 PM,21.49,14496,Finland
500687,P71344,Cotton Tote Bag,19,26/08/2010 10:11:49 PM,47.49,11045,Greece
500229,P48664,Portable Charger,19,27/01/2010 01:42:57 PM,35.27,13354,United States
501300,P81633,Ceramic Mug,1,13/11/2010 08:42:23 PM,39.68,19151,China
500658,P38151,Pocket Calculator,3,17/01/2010 03:41:31 PM,11.15,17679,Canada
501243,P45435,Wireless Mouse,14,07/10/2010 12:57:00 AM,4.77,11060,Japan
500496,P48243,LED Desk Lamp,3,10/07/2010 02:54:52 AM,14.43,19331,Norway
500980,P97778,Wall Calendar,1,18/01/2010 09:36:24 AM,5.6,18319,Russian Federation
